新聞標題,日期時間,新聞內容,新聞連結
投資虛擬貨幣反遇詐 男子5百多萬積蓄遭騙走,2022/02/17 13:53,"網路上投資詐騙廣告頻傳，警方呼籲投資理財需透過合法管道，以免上當受騙。示意照，非新聞事件廣告。（基隆市警局提供）
2022/02/17 13:53
〔記者吳昇儒／基隆報導〕北部一名林姓男子去年底，透過網路廣告加入假投資平台，依對方指示加入對方設置的投資平台，並進行虛擬貨幣交易。近幾個月來，林男發現平台上的收益越來越多，便將5百多萬的積蓄分10次投入。林男近期想取款時，才發現無法登入平台，驚覺上當受騙，報警偵辦。警方呼籲，投資理財需透過合法管道，以免上當受騙。
據悉，林男在去年聖誕節前夕，在網路上看到有投資虛擬貨幣的相關介紹，對方還標榜穩賺不賠，有專業人員指導，一時興起，依照廣告上面的LINE連結，加入該公司，並依照客服指示，在投資平台上面申請帳號，匯入小額款項進行投資。
沒想到不到一個多禮拜，發現賺了不少，陸陸續續匯了10次款項到平台指定的投資帳戶中，共526萬餘元；隔沒多久，因需要現金週轉，登入平台要領錢時，才發現平台已經無法登入，裡面的現金也拿不回來，才驚覺被騙報警處理。
基隆市警察局第二分局偵查隊副隊長莊惠茹呼籲，民眾投資理財前，務必停看聽，審慎確認所做的投資或交易是透過合法金融機構進行。如宣稱穩賺不賠、保證獲利的投資管道一定就是詐騙；另165官方網站及165全民防騙臉書粉絲專頁，定期公布最新假投資詐騙網站供民眾點閱，有任何疑問可撥打165反詐騙諮詢專線求證。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://news.ltn.com.tw/news/society/breakingnews/3832755
孝子代友匯美元投資虛擬貨幣 警提出炫富個案讓他保住孝親費,2022/02/16 15:09,"張姓男子到林口一間銀行匯款，新北警林口分局員警到場勸消張男匯款念頭。（記者吳仁捷翻攝）
2022/02/16 15:09
〔記者吳仁捷／新北報導〕新北市一名張姓男子到銀行匯款，行員詢問用途，他指稱代替友人匯出500美元投資虛擬比特幣，但警方發現張男匯入帳戶為警示帳戶，警方發覺類似手法為炫富投資詐騙，警方提出吸金集團吸金，還開跑車攬客等犯罪事實，張男才恍然大悟，感謝警方保住他的孝親費。
33歲設計師到林口一間銀行匯款，他告知行員因中國朋友見比特幣崛起，獲利極佳有意投資，因友人在中國投資受阻，轉帳給他希望代為投資，他上網找尋投資網站，想匯款到對方指定帳戶，行員察覺有異，張男仍堅持匯款，行員只好報案。
文林派出所警員華宏麟、林欣玫到場，詢問張男匯款用途等資訊，警方查證張男欲匯款帳戶，確認為警示帳戶，提出案例與張男溝通、解說，張男恍然大悟是詐騙手法，打消匯款意願，保住賺來的加班費，他還透露這500美元，相當於他每月要給雙親的15000元孝親費，他感謝行員、警方協助。
警方提醒民眾，近年網路盛行虛擬貨幣投資，透過高額報酬或是炫富的方式，誘使被害人上鉤，待被害人匯款後便表示投資失利或是直接失聯，詐騙民眾的財產，故千萬不要相信網路上來路不明的消息，投資應透過政府立案的金融機構，才能保障財產安全。
☆自由時報電子報提醒您，防詐騙專線︰165，報案專線︰110☆
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://news.ltn.com.tw/news/society/breakingnews/3831612
〈銀行家觀點〉詐騙猖獗 金管會多管齊下 6年臨櫃成功攔阻達38億元,2022/02/16 12:18,"詐騙猖獗，金管會多管齊下，6年臨櫃成功攔阻達38億元。（示意圖，資料照）
後疫情時代到來，無接觸經濟大行其道，金融詐騙猖獗，投資人應建立「不懂的金融商品不要碰」、「不隨便相信陌生人」的觀念，可以讓自己免於因為一時貪念而淪為「韭菜」的命運。
疫情後加速數位金融的發展，2021年銀行數位帳戶的數量已經破940萬個，而負責消金的銀行行員面對這樣趨勢整體而言，台灣人享受到的金融服務相當便捷，尤其金融科技（FinTech）蔚為風尚後，許多服務流程線上化，在手機或電腦前動動手指即可搞定，但也因此讓「金融詐騙」更加猖獗。為了防堵詐騙，金管會也多管齊下，與時俱進。
過往民眾對於接到各種古怪的銀行、汽車貸款、補習班等來電，大概都習以為常，也不乏跟著詐騙集團指示到提款機前操作、按下「匯款」鍵後，才驚覺自己不幸上當，帳戶裡的錢有去無回。在金管會與業者的通力合作下，後續已防堵了不少悲劇。
臨櫃關懷 助警攔下9千件受騙案
根據統計，過去6年來（從2016年至2021年9月止），金融機構透過臨櫃關懷的方式，協助警方攔阻近9千件民眾受騙案、總金額近38億元。
不過，隨著科技日新月異，歹徒的手法亦不斷「進化」，甚至走向專業化、科技化、全球化，除了傳統的電話詐騙外，近幾年投資人屢屢接獲簡訊或LINE邀請開立投資帳戶，並推薦飆股、未上市櫃股票的訊息，當中藏著無數「假投資、真詐騙」的陷阱。近兩年來台股指數迭創新高，成交量攀升，許多人加入股市，跌入陷阱的例子也明顯增加。
再者，第三方支付、區塊鏈、虛擬貨幣等技術崛起，也加快了金融犯罪的速度，短短幾分鐘、甚至幾秒內就轉移被害者的高額資產不再是難事，害得不少人在轉瞬之間就傾家盪產。
不乏跟著詐騙集團指示到提款機前操作、按下「匯款」鍵後，才驚覺自己不幸上當，帳戶裡的錢有去無回。在金管會與業者的通力合作下，後續已防堵了不少悲劇。
臨櫃關懷 助警攔下9千件受騙案
根據統計，過去6年來（從2016年至2021年9月止），金融機構透過臨櫃關懷的方式，協助警方攔阻近9千件民眾受騙案、總金額近38億元。
不過，隨著科技日新月異，歹徒的手法亦不斷「進化」，甚至走向專業化、科技化、全球化，除了傳統的電話詐騙外，近幾年投資人屢屢接獲簡訊或LINE邀請開立投資帳戶，並推薦飆股、未上市櫃股票的訊息，當中藏著無數「假投資、真詐騙」的陷阱。近兩年來台股指數迭創新高，成交量攀升，許多人加入股市，跌入陷阱的例子也明顯增加。
再者，第三方支付、區塊鏈、虛擬貨幣等技術崛起，也加快了金融犯罪的速度，短短幾分鐘、甚至幾秒內就轉移被害者的高額資產不再是難事，害得不少人在轉瞬之間就傾家盪產。
就以價格翻倍上漲的虛擬貨幣來說，詐騙集團常透過通訊軟體與投資人聊天，確認對方的財力與投資意願後，不斷灌輸「可以迅速獲利」的觀念，以「代為操盤」的名義，誘騙受害人把資金轉入特定帳號；一旦投資人想領回，就無法直接操作，甚至得再投入一筆加值金才能申請領回，但實際上資金已被轉入人頭帳戶了。
身分盜用 數位金融下新型態風險
根據官方統計，2021年前3季接獲203件疑似投資詐騙的情資，與前一次公布的上半年不到百件相比，增速極快，而且形式越來越複雜，最常見的包括「詐騙集團竄改來電顯示號碼」，以政府機關、銀行或其他權威單位的電話號碼致電民眾，謊稱受害者消費紀錄或投資帳戶有問題，進而騙取對方的個人資訊，再要求轉帳。
「身分盜用」也是數位金融下的新型態風險，像是「假冒銀行或金融業者發送釣魚簡訊」就是逐漸普及的詐騙手法之一，通常是以仿真網路銀行頁面，或是任何誘騙民眾點開的短連結，民眾點進去後，銀行帳號、密碼就被盜用，存款直接被轉出至人頭戶。
另外，現在不肖人士冒用名人、知名公司行號或媒體帳號來招搖撞騙的例子，也是層出不窮。近期「深偽」（DEEP FAKE）技術崛起，名人的肖像不時遭到盜用，這對金融科技所倚重的生物辨識技術而言更是一大危機，日後透過「刷臉」來認定使用者的身分，會不會成為破口？對當事人造成財產、心理的損失該如何消弭？隨著深偽技術在人工智慧（AI）人臉辨識上的精準度提高，相關軟體也將更容易取得，隨之衍生的犯罪手法與議題勢必更受矚目。
徵信複雜 企業授信詐貸易內神通外鬼
除了金融業者的客戶外，業者本身也是詐騙集團鎖定的對象。有別於一般消費金融的授信模式，僅有銀行與客戶兩邊交易，整個流程相對單純，若是涉及企業金融應收帳款、企業與銀行的三邊交易，完整查證發票與出口資料正確性的難度提高，徵信機制更形複雜，有心人士也得以鑽漏洞。
最常聽聞的是企業授信詐貸，通常是歹徒先偽造不實的發票、出貨文件、買賣契約等，與物流公司掛鉤，開立不實單據，或虛構財報、捏造不實銷售數字，在海外成立幾家紙上公司，假冒為上游與下游業者的關係，讓銀行誤以為真的有實際買賣行為，就准許放貸。
更有甚者，不肖人士會提供假窗口，買通公司內部人員擔任與銀行打交道的窗口，收受銀行寄送來的文件，並回覆、確認交易回函，還會進一步「假裝正常還款」，在內神通外鬼的情況下，讓銀行誤判一切流程都沒問題。
三不三要 審慎判斷各方訊息
法務部次長陳明堂曾說，金融犯罪速度越來越快，面對「魔高一尺」，政府監理機關就必須「道高兩丈」。金管會除了不斷提醒金融業第一線人員要留意客戶異常的匯款行為外，也不時呼籲投資人，從事投資理財前務必要「停、看、聽」，審慎判斷各方訊息，提倡「三不三要」等預防措施。
所謂「三不」指的是不聽信來源不明的資訊、不加陌生投資群組、不使用保證獲利App與投資平台；「三要」則包括「要對任何鼓吹加入投資群組、勸誘買股資訊提高警覺」、「要向合法金融業者或165反詐騙專線多查證」、「要向治安單位或檢調單位檢舉，或撥打165反詐騙專線」。
除此之外，金管會陸續透過辦理座談會、刊登廣告、製作海報及反詐騙短片等方式來進行宣導，強化各界對反金融詐騙的警覺，也已經與內政部警政署刑事警察局召開研商「防制假投資詐欺」會議，雙方建立聯繫窗口，攜手防範金融詐騙事件。
為了與時俱進，金管會也善用新科技與工具來防止犯罪，除了大聲疾呼金融業者可以自行開發防詐騙策略（例如更新偵測工具、提供防詐騙IT系統），也積極提供實質協助。
舉例來說，在金管會督導下，證期局官網設立了「防範非法證券期貨業宣導」專區，讓投資人可以查詢金管會核准的合法證券商、期貨業、投信投顧業名單，以確保自身權益；券商及投信投顧公會也建置「國際投資警示專區」、「非法業者警示專區」，供投資人查詢海外的投資注意事項、近期遭到冒名的知名人士對外澄清訊息、非法業者相關資訊。
為了讓投資人一旦接收到詐騙訊息時，能快速得到專人服務，確認訊息的正確性外，且諮詢法律相關問題，自2021年12月15日起，投保中心及期貨、投信投顧、券商三大公會共同設置「證券期貨反詐騙諮詢專線（02）2737-3434」（取「三思三思」諧音）。
國內的聯合徵信中心資料完整而豐富，是極有價值的平台，金管會已透過銀行公會來教育會員了解聯徵中心的實用性，像是如何在該平台上更仔細注意到客戶匯款或收款的異常情況、客戶是否有重複融資等，找出藏在細節中的魔鬼，並從不同案件中歸納出通案性的實務準則。
如今後疫情時代到來，「無接觸經濟」大行其道，金融業者也不一定要在實體通路直接面對授信客戶，金管會提醒，國內金融業者的線下、線上配合機制佳，不論是面對消金或企金客戶，業者都應當不限單一通路來完成徵信程序，像是線上遠距離對保就是可以採行的方式。
日前金管會公布、2022年正式上路的「理專十誡」2.0版本，也深具意義，例如新規範指出，銀行不能只由理專或理財部門出具對帳單給客戶，必須由總行產製、遞送，以協助客戶比對、確認資產狀況，這是個很重要的基石，可預見的是，日後勢必會針對身分盜用、身分詐欺等行為做更全面的防堵，之後從查詢帳戶餘額、匯款到買基金與保單，可能都會有不同的驗證措施。
雖說金管會不遺餘力在督導證券期貨周邊單位及業者，強化對投資人的宣導，不過，金融業者能夠強化內稽內控、落實KYC（認識你的客戶）到何種程度，最後仍要仰賴自己的努力，投資人也應該建立「不懂的金融商品不要碰」、「不隨便相信陌生人」的觀念，現在連帳面獲利都可以灌水、造假了，既然網路搜尋如此方便，至少先上網查詢一下有意參與的商品、交易平台，都可以讓自己免於因為一時貪念而淪為「韭菜」的命運。
（本文摘自2022年2月份《台灣銀行家》月刊，採訪、撰文：張舒婷）
一手掌握經濟脈動 點我訂閱自由財經Youtube頻道
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://ec.ltn.com.tw/article/breakingnews/3817794
角力女教練施擒抱技助警逮毒品通緝犯 侯友宜頒獎表揚,2022/02/15 14:52,"正德國中柔道角力隊的22歲女教練李嘉菱助警逮捕通緝犯。（記者姚岳宏翻攝）
2022/02/15 14:52
〔記者姚岳宏／新北報導〕新北市淡水警分局黃姓警員日前巡邏行經超商，發現43歲陳姓毒品通緝犯形跡可疑，上前盤查時卻遭對方反抗企圖逃脫，正巧淡水正德國中柔道角力隊女教練李嘉菱進超商消費，見狀立刻擒抱這名毒品通緝犯，市長侯友宜今天特別在市府治安會報，頒獎表揚李嘉菱，稱讚她的勇氣與機警，更為警民合作的最佳典範。
淡水分局興仁派出所警員黃昱嘉大年初二傍晚，到淡金路三段的便利超商巡簽，發現1名男子機車鑰匙未拔，打算進入超商內提醒他，但男子看見警察靠近，眼神閃爍、神色緊張，黃員直覺有異，要求他提供身分證件，男子卻趁警方查詢小電腦時，一個轉身往店外狂奔。
黃員一把抓住他的雨衣，此時一名女子身手矯捷從男子身後施出角力擒抱的動作，讓員警噴灑辣椒水，順利將這名毒品通緝犯壓制逮捕。
原來該名見義勇為女子是正德國中柔道角力隊的22歲女教練李嘉菱，她是土生土長的淡水人，目前就讀台北市立大學技擊運動學系三年級，國中時接觸柔道，後發現更愛角力，並在角力擂台展露頭角，國三與高一蟬聯全中運角力冠軍，更參加2017亞洲青少年角力賽勇奪銅牌，後回到母校任教。
李嘉菱說，把所學傳授給學弟妹是她最開心的事，也很開心能發揮所學協助警方制伏毒品通緝犯，雖然事後發現左腳腳趾輕微撕裂傷，但她覺得能夠利用本身的專業技能替治安盡力，感到相當開心與榮幸。
市府治安會報另頒獎表揚攔阻民眾遭詐欺款項、協助破案有功的金融機構行員、超商店員等83位「防詐小天使」，頒發獎牌、禮券與感謝信，感謝他們協助警察維護治安的辛勞。
市長侯友宜表示，感謝正德國中的李嘉菱教練及這些銀行行員、超商店員的見義勇為、積極主動，讓警察機關能夠在最快的時間緝捕匪徒及攔截詐騙提款，讓被害者的損失能夠降低，這些當場所做的勇敢行為，都是幫忙打擊犯罪最重要的一環，特別是陳嘉菱，她能發揮平常角力訓練所學，臨場反應運用在協助維護治安，更是難能可貴。
新北市警局長黃宗仁也提醒，除了傳統型詐騙手法外，民眾更需提防「投資型詐騙」，尤其是誆騙民眾點選投資網站，投資外幣、虛擬貨幣等。他也呼籲，碰上對方強調「保證獲利無風險」等理由要求匯款絕對是詐騙，民眾只要提高警覺，遇有可疑立刻撥打165或110查證，就能避免受騙上當。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://news.ltn.com.tw/news/society/breakingnews/3830457
女子違規迴轉竟因要找「虛擬貨幣ATM」 警順利阻詐,2022/02/15 12:04,"警方勸阻林姓女子（右）被詐騙集團騙取12萬元。（警方提供）
2022/02/15 12:04
〔記者周敏鴻／桃園報導〕桃園市林姓女子昨天晚間7點多，騎著機車外出要找「虛擬貨幣ATM」，讓她可以購買比特幣匯給新加坡的友人「理查」，卻因違規迴轉被警方攔下，警方聽到她的說明後，趕忙向她解釋「那是詐騙」，幫她保住12萬元的現金。
林女說，她日前在網路上結識自稱在新加坡工作的理查，對方告知她可以幫忙買優惠價隔的衣服與項鍊等飾品，但她須先購買比特幣匯款到新加坡。
林女不疑有他，昨天晚間7點多獨自騎著機車外出，想要匯款給對方，但她搞不清楚狀況，誤會要找到虛擬貨幣ATM，就能一口氣購買比特幣並匯款，警方說，她騎車行經中正路、慈祥街口時，為了回頭找虛擬貨幣ATM，違規迴轉，被警方發現攔下，幸運保住了12萬元現金。
☆自由時報電子報提醒您，防詐騙專線︰165，報案專線︰110☆
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://news.ltn.com.tw/news/society/breakingnews/3830204
投資比特幣有獲利？台中翁放手一搏加碼…60萬險飛了,2022/02/13 12:04,"老翁聲稱加入「飆股齊鳴」line群組投資比特幣。（警方提供）
2022/02/13 12:04
〔記者許國楨／台中報導〕台中市一名老翁日前加入投資群組，聲稱投資比特幣有獲利，決定放手一搏再加碼，想幫自已多存點養老金，當天到金融機構準備匯款60萬元到對方指定帳戶時，幸行員直覺有異通報警，會同員警聯手勸阻，戳破詐團假投資真詐財技倆，及時保住老本。
台中市第四分局大墩派出所7日上午接獲轄內彰化六信行員通報，有民眾疑似遭詐騙，員警黃佳玟、楊朝鈞馳赴現場了解時，73歲曾姓老翁主動出示手機畫面，聲稱加入「飆股齊鳴」line群組投資比特幣，先前匯入25萬元因有獲利，欲再加碼匯入60萬元，想幫自己多存點養老金。
員警仔細檢視line對話內容，發對方不斷發送獲利訊息誘騙老翁，加上線上虛擬帳戶進帳獲利畫面洗腦，老翁對此深信不疑，決定放手一搏想大賺一筆，但因此次金額龐大，且對方以老翁不諳操作等理由，要求先將款項匯入指定帳戶，此舉引起銀行行員注意，主動通報員警協助處理。
經員警不斷勸說告知，虛擬貨幣為常見假投資真詐騙手法，切勿被投資APP表面帳戶上金額矇騙，這一切都是詐團誘騙被害人投資更多金額的誘餌，最終落得血本無歸，老翁這才點頭答應不再匯款；第四分局分局長許明耀獲悉上情後，親自頒發紀念品予機警熱心的行員，感謝行員及時通報，合力保住老翁退休老本。
所長曾一峯呼籲，詐騙集團伎倆變化多端，切勿輕信不明來源的投資管道，讓投資人血本無歸，提醒民眾只要涉及不明人士要求金錢往來，務必撥打165反詐騙專線查證，保障自身財產安全。
☆自由時報電子報提醒您，防詐騙專線︰165，報案專線︰110☆
員警發現是詐團技倆勸說老翁，及時阻詐。（警方提供）
員警發現是詐團技倆勸說老翁，及時阻詐。（警方提供）
四分局長許明耀（圖左一）頒發紀念品給熱心阻詐的行員。（警方提供）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://news.ltn.com.tw/news/society/breakingnews/3828247
假賣虛擬貨幣礦機詐財 車手2度持玩具鈔當保證金被逮,2022/02/12 10:43,"警方查扣玩具鈔與陳嫌身上的手機、現金等贓證物。（記者邱俊福翻攝）
2022/02/12 10:43
〔記者邱俊福／台北報導〕一名張姓男子於網路購買虛擬貨幣礦機時，遇到詐欺集團，對方要求先匯款30萬元人民幣（約新台幣130萬元）至境外帳戶，張男為免受騙，依約匯款後，要求對方支付200萬元履約保證金，結果面交時，對方以玩具鈔充當保證金，魚目混珠，張男返家驚覺受騙報警，隨後跟北市警中山分局中二派出所合作，昨天以欲加碼購買，誘出交款的陳姓車手，一舉逮人送辦。
警方調查，31歲張男日前透過臉書，向自稱「銘泉」的男子購買虛擬貨幣礦機，對方要求張男先行匯款30萬元人民幣至境外指定帳戶，作為頭期款項，張男依約匯款同時，要求對方須支付200萬元的履約保證金，以確保之後的交易。
前天，雙方相約交付200萬元的保證金，陳嫌出面交付兩捆鉅額現鈔給予張男，結果張男返家察看，發現兩捆各100萬元保證金，每疊鈔票只有上下2張是真鈔，其他根本就是玩具鈔，氣得向轄區警方報警。
張男報警時，突然接獲對方來電，警方隨即順水推舟，要求張男宣稱要加碼購買礦機，要求對方再交付200萬元保證金。昨天下午，雙方相約在北市民權西路面交時，18歲陳嫌再度出面交款。
警方見狀一湧而上將陳嫌逮捕，帶回派出所偵訊，經查陳嫌這次攜帶的保證金，則僅有3千元為真鈔。警訊後，將陳嫌依詐欺罪嫌移送台北地檢署偵辦，並持續擴大偵辦中。
☆自由時報電子報提醒您，防詐騙專線︰165，報案專線︰110☆
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://news.ltn.com.tw/news/society/breakingnews/3827459
冒牌「Windows 11 升級」現身！下載後銀行存款、帳號密碼恐被偷光,2022/02/11 15:19,"駭客製作的假網站。（圖／翻攝HP部落格）
微軟開放符合硬體規定的 Windows 10 電腦，免費升級至 Windows 11 系統，但要小心走錯網站！有惡意軟體偽裝成「Windows 11 升級網頁」，企圖詐騙用戶存款與個資。
HP 的資安小組於官方發布一篇最新報告，指稱在 2022 年 1 月開始發現，有駭客註冊了「windows-upgraded[.]com」的冒牌網域，主打升級 Windows 11 系統網站，頁面設計與微軟官方相似度極高，卻把主要的檔案掉包換成惡意軟體。
駭客以 Windows 11 升級檔案為名目，誘使用戶下載名為「RedLine Stealer」的惡意軟體，一開始為 1.5MB 的 Zip 檔案，透過解壓縮過程開始遠端值入惡意軟體，會竊取包含帳號密碼、信用卡、虛擬貨幣錢包等敏感個資。
HP 還發現，類似的手法亦曾出現其他流行的軟體，例如駭客曾經製作冒牌的 Discord 通訊軟體下載頁面。研究指出，駭客經常結合時事，或是受到歡迎的軟體作為誘因，建議用戶要確定下載檔案的來源是否可靠。
《你可能還想看》
情人節慎防「貼圖、網購」詐騙地雷！資安揭駭客常用3大套路
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法
資安
Windows 11
惠普科技
微軟
作業系統
資訊安全
產業新聞",https://3c.ltn.com.tw/news/47636
料況緩解挹注營收 技嘉樂觀看待首季營運,2022/02/11 15:15,"技嘉1月營收142億元，月增84%，年增36.77%。（資料照，技嘉提供）
〔記者方韋傑／台北報導〕電競筆電大廠技嘉（2376）昨發布1月營收142億元，月增84%，年增36.77%；技嘉今表示，由於料況紓緩強力帶動營收，今年首季可望有不錯表現，全年保守估計有個位數成長，營運正向樂觀。
技嘉指出，2022年第1季業績可望不錯，去年整體營收1219億元，是有史以來最高的一年，今年可望維持水準，保守來看個位數成長一定沒問題，會不會有雙位數成長還要視今年下半整體狀況而定。
技嘉提到，先前曾於法說會預估，今年筆電出貨可望倍增，伺服器也將成長五成，因此全年正向樂觀，板卡、料況問題雖然尚未完全解決，但相較於去年已經好多了，因此顯著地反映在1月營收表現上。
關於近期Mate出售Diem幣資產與智慧財產權，技嘉認為，由於比較沒人去挖這種礦，大部分挖礦客瞄準的是以太幣、狗狗幣等，因此Diem幣是否出售，估對顯卡並無明顯推升作用，但若因此引發其他虛擬貨幣的挖礦熱潮，或許有可能帶動顯卡銷量。
一手掌握經濟脈動 點我訂閱自由財經Youtube頻道
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://ec.ltn.com.tw/article/breakingnews/3826685
挖礦熱+春節長假效應 動力-KY 1月營收創新高,2022/02/10 18:41,"動力科技研發色彩繽紛的智慧風扇。（資料照）
〔記者方韋傑／台北報導〕受惠於比特幣、以太幣等虛擬貨幣行情，又因農曆春節長假效應，推進消費者對電競筆電、桌機、顯示卡需求大幅提升，帶動動力-KY（6591） 電競相關散熱風扇產品出貨暢旺。動力-KY今公告1月合併營收為1.87億元，創歷史同期新高，月減7.7%，年增19.10％。
動力-KY表示，1月營收成長主要受惠於公司旗下電競相關散熱風扇產品銷售業績成長，尤其是支援NVIDIA RTX 3050系列顯示卡因已正式於1月底開賣，帶動系統廠對於中低階電競用散熱風扇進入密集鋪貨階段，拉升1月整體電競散熱風扇業績比重，是改寫歷史同期新高的重要關鍵。
NVIDIA指出，75%的玩家依然在使用GTX GPU，主流市場將逐步升級到RTX產品，在DLSS技術加持下，RTX 3050的在主流1080P PC遊戲中的幀數可輕鬆穩定在60FPS+，完全取代GTX 1650及其他入門產品。
動力-KY因此認為，第一季可望淡季不淡，迎來新一波電競升級所帶來的強勁下單力道，而受惠5G、人工智慧（AI）、物聯網（IoT）等快速發展下，散熱風扇相關產品成為更多產業的關鍵零組件，創造相關供應鏈良好的發展環境。
展望2022年第1季，動力-KY維持審慎樂觀看法，受惠於電競元宇宙、NFT應用、虛擬貨幣趨勢帶動，主要下游客戶對於散熱風扇產品需求持續增溫，其他包括5G伺服器、車用、智慧家電等相關利基型散熱風扇產品，也同步保持良好業務拓展，全年整體營運有望向上成長。
一手掌握經濟脈動 點我訂閱自由財經Youtube頻道
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://ec.ltn.com.tw/article/breakingnews/3825944
黑幫組網路博弈機房憂疫情 成員咳嗽、感冒自主快篩,2022/02/09 15:53,"警方將藍姓女幹部等18人送辦。（記者邱俊福翻攝）
2022/02/09 15:53
〔記者邱俊福／台北報導〕竹聯幫仁堂明仁會涉嫌聘僱年輕女幹部，籌組網路博弈與「假交友、投資」機房，牟取暴利，刑事局偵一大隊第一隊據報上月中旬查察，發現機房成員在這段疫情時間，只要成員有咳嗽、感冒等症狀，便會立即自主快篩，且還會頒發業績獎杯，激勵機房成員，共逮捕藍姓、張姓2機房女幹部與旗下成員等18人送辦。
警方調查，網路博弈與「假交友、投資」2處機房，分別設置於北市松山地區與新北市泰山地區的租賃商辦大樓及民宅內，經清查查扣的相關資料，博弈機房經營半年來，號召下注抽取的傭金，至少高達1、2000萬元，詐欺機房受害人則至少10人以上。
該幫派犯罪手法則是於各地利用吸收招募年輕成員加入，進入詐欺賭博機房工作，並透過績效獎金制度激勵成員，向不特定之人以招攬賭客參與網路博弈，以獲取不法利益；另利用社群網站交友，介紹被害人投資比特幣等虛擬貨幣，以及日圓、美金等外幣至投資平台，待被害人匯款上鉤後，即無法匯回金額的詐騙方式，訛騙得手不法金錢。
警方是日前接獲線報後，經長期蒐證，上月18日兵分兩路發動搜索，破獲該2處機房，逮捕藍姓、張姓2機房女幹部與旗下成員等18人到案，查扣電腦主機、電腦螢幕、手機、筆記本、員工打卡單、教戰守策及業績獎杯等大批贓證物。
警方查扣電腦主機、電腦螢幕、手機、筆記本、員工打卡單、教戰守策及業績獎杯等大批贓證物。（記者邱俊福翻攝）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://news.ltn.com.tw/news/society/breakingnews/3824321
投資加密貨幣家破人亡 南韓男子欠債近500萬、勒斃11歲女兒,2022/02/06 14:38,"南韓男子投資加密貨幣後積欠2億韓元（約新台幣464萬元）債務，走投無路的他竟親手勒斃11歲女兒。加密貨幣示意圖。（路透）
2022/02/06 14:38
〔即時新聞／綜合報導〕全球近年來興起加密貨幣投資風潮，但南韓1名38歲申姓男子在投入金錢後全都賠光，還積欠了2億韓元（約新台幣464萬元）債務，走投無路的他竟勒斃11歲女兒並試圖輕生未果，水原地方法院今（6日）判處申男入獄12年。
據《朝鮮日報》報導，申男2012年離婚後帶著女兒生活，2019年他迷上手機遊戲並過度儲值，為了迅速掙錢花用，申男在2021年4月貸款並投資加密貨幣，但最終失敗並負債2億韓元，同年10月5日於水原市勸善區家中勒死熟睡中的女兒。
法官指出，申男平常透過喝酒和玩手遊來緩解壓力，當時因為短時間內輕鬆賺錢的錯誤想法而造成負債累累，最終親手奪走女兒寶貴的性命。
不過，法官認為，申男對自己的犯行供認不諱並反省錯誤，考量到他作案時被絕望和憂鬱所影響，再加上他同意之後的生命將用來贖罪，因此判處他12年有期徒刑，出獄後2年內需保護管束且5年內不得在兒童相關機構任職。
自由電子報關心您︰自殺不能解決問題，勇敢求救並非弱者，社會處處有溫暖，一定能度過難關。
安心專線：1925
生命線協談專線：1995。
張老師專線：1980
☆自由電子報關心您：若懷疑孩童遭受身體虐待、精神虐待或是性侵害、性騷擾，請撥打113專線，透過專業社工員接線服務，將可盡快救援在生命危機中的兒童。☆
☆飲酒過量 有害健康 禁止酒駕☆
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://news.ltn.com.tw/news/world/breakingnews/3821212
光良兩年沒回家團圓 發紅包「元宇宙」化,2022/02/05 05:30,"光良無法返回大馬過年，只能透過視訊向家人拜年。（星娛音樂提供）
〔記者陳慧玲／台北報導〕光良因疫情關係，已經兩年無法返回家鄉馬來西亞過年，今年只能透過視訊向家人拜年，連紅包都只能轉帳送出。
獨自留在台灣過春節，愛吃佛跳牆的光良特別提早預定3盅當成年菜，他在Podcast節目中有提到這件事，爸爸視訊時還問他：「佛跳牆好吃嗎？」母親則是拍了一整桌的年菜給他看，光良說：「更讓我想家了！」
請繼續往下閱讀...
愛研究虛擬貨幣的光良也把紅包「元宇宙」化，笑說；「我給紐西蘭姪子們的紅包已經很多年都是給虛擬幣，他們都很開心！」
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",https://ent.ltn.com.tw/news/paper/1499000
